detector,dataset,sample_index,duration,n_onsets,n_segments,n_truncated,mean_window_frames,root,thirds,triads,majmin,mirex,underseg,overseg,seg
superflux,broken_sustain,18,19.989333333333335,10,10,6,172.6,0.6227656155854592,0.6227656155854592,0.6227656155854592,0.33056225976579984,0.6227656155854592,0.7038896699471111,0.9981421972283593,0.7038896699471111
superflux,broken_sustain,19,20.650666666666666,10,10,4,167.8,0.5045653229723166,0.3846527440505099,0.3846527440505099,0.38994637520979164,0.3846527440505099,0.42196859316820456,0.9979601748421563,0.42196859316820456
superflux,normal_no-sustain,0,18.549333333333333,10,10,7,162.4,0.5832612144814654,0.5832612144814654,0.44416197894129517,0.19744474055494582,0.44416197894129517,0.48296192124621373,0.9978544641569307,0.48296192124621373
superflux,normal_no-sustain,1,20.469333333333335,10,10,5,172.9,0.09338763227188736,0.09338763227188736,0.09338763227188736,0.10090300235028023,0.09338763227188736,0.3403006067742832,0.9990023387795823,0.3403006067742832
superflux,normal_no-sustain,2,20.469333333333335,10,10,5,170.2,0.6656546365669328,0.44759479620651943,0.44759479620651943,0.31767089107932506,0.44759479620651943,0.5030605748983888,0.9973719863539168,0.5030605748983888
superflux,normal_no-sustain,3,20.586666666666666,10,10,5,168.7,0.6120594355572896,0.6120594355572896,0.6120594355572896,0.4670734978540772,0.6120594355572896,0.6891500845363504,0.9991546364936923,0.6891500845363504
superflux,normal_no-sustain,4,19.925333333333334,10,10,6,166.2,0.36787059456550986,0.25433817594834535,0.25433817594834535,0.31196634079940594,0.25433817594834535,0.45315442561205277,0.9398708635996772,0.45315442561205277
superflux,normal_no-sustain,5,19.925333333333334,10,10,5,163.5,0.6945760661356989,0.6945760661356989,0.5728904123399533,0.5443398763108359,0.5728904123399533,0.5705044191282724,0.9972779514063915,0.5705044191282724
superflux,normal_no-sustain,6,21.482666666666667,11,11,4,164.27272727272728,0.654844129176778,0.654844129176778,0.654844129176778,0.5708644142167617,0.654844129176778,0.7276616265322631,0.984132910210939,0.7276616265322631
superflux,normal_no-sustain,7,20.405333333333335,10,10,5,167.9,0.3947954538010545,0.3947954538010545,0.3947954538010545,0.17796271305043232,0.3947954538010545,0.6460155252038909,0.9976089875863876,0.6460155252038909
superflux,normal_no-sustain,8,18.186666666666667,10,10,5,157.9,0.3578447609583747,0.24837142541680474,0.24837142541680474,0.24837142541680474,0.24837142541680474,0.43286960362150806,0.9438555813183174,0.43286960362150806
superflux,normal_no-sustain,9,15.904,10,10,8,139.0,0.8842870692380652,0.8842870692380652,0.7254294446200865,0.5579597073407537,0.7254294446200865,0.7110970597533985,0.9992412266835282,0.7110970597533985
superflux,normal_no-sustain,10,14.826666666666666,10,10,9,135.9,0.28388688899454373,0.28388688899454373,0.0,0.0,0.0,0.2609522515791619,1.0,0.2609522515791619
superflux,normal_no-sustain,11,17.642666666666667,10,10,4,156.7,0.802847962889028,0.802847962889028,0.802847962889028,0.806280628062806,0.802847962889028,0.6973516606779595,0.9997908705488697,0.6973516606779595
superflux,normal_no-sustain,12,18.421333333333333,10,10,5,157.9,0.5498182479098508,0.5493456924754633,0.5493456924754633,0.4998665866186375,0.5493456924754633,0.7088331515812433,0.9419120319883678,0.7088331515812433
superflux,normal_no-sustain,13,20.341333333333335,10,10,5,173.2,0.5342497249182966,0.4270253403622867,0.4270253403622867,0.3579620064781581,0.4270253403622867,0.6006963262222659,0.9958943029347523,0.6006963262222659
superflux,normal_no-sustain,14,20.82133333333333,10,10,5,174.3,0.6762635030864198,0.6762635030864198,0.6762635030864198,0.8456751711263226,0.6762635030864198,0.6921778549382713,0.9992444701646089,0.6921778549382713
superflux,normal_no-sustain,15,17.226666666666667,10,10,7,146.5,0.19178028978751502,0.19178028978751502,0.19178028978751502,0.09923357438655044,0.19178028978751502,0.4691178184360798,0.997552732781727,0.4691178184360798
superflux,normal_no-sustain,16,20.170666666666666,11,11,5,162.0909090909091,0.5864252942349892,0.48437396103464336,0.48437396103464336,0.48323354476653424,0.48437396103464336,0.6097479885630697,0.9996509076401358,0.6097479885630697
superflux,normal_no-sustain,17,18.784,10,10,7,163.9,0.4627748672440215,0.46213336184468434,0.3398018461099825,0.2877150397811555,0.3398018461099825,0.38317473894294185,0.9984675148793613,0.38317473894294185
superflux,normal_no-sustain,18,17.824,10,10,6,157.3,0.41622078287806274,0.41622078287806274,0.35302731624894423,0.3039895058031769,0.35302731624894423,0.4730873932225663,0.9970524734816484,0.4730873932225663
superflux,normal_no-sustain,19,18.005333333333333,10,10,6,152.1,0.4695904474946992,0.4695904474946992,0.3836625376632071,0.2742586554882781,0.3836625376632071,0.639716549492244,0.9989026522337537,0.639716549492244
superflux,normal_no-sustain,20,19.21066666666667,10,10,6,164.0,0.4634792767344946,0.4634792767344946,0.4634792767344946,0.44303173664498346,0.4634792767344946,0.5807396558037349,0.9996163972729334,0.5807396558037349
superflux,normal_no-sustain,21,22.986666666666668,11,11,3,173.9090909090909,0.20153821549555845,0.08434015207688174,0.08434015207688174,0.0,0.08434015207688174,0.17451040258210837,0.9981971765458485,0.17451040258210837
superflux,normal_no-sustain,22,19.082666666666668,10,10,6,165.6,0.34925315500324733,0.347778772400962,0.347778772400962,0.5513573131248447,0.347778772400962,0.41314306776894316,0.9995085391325718,0.41314306776894316
superflux,normal_no-sustain,23,18.005333333333333,10,10,6,152.0,0.6079655223658788,0.6079655223658788,0.6079655223658788,0.602035810645082,0.6079655223658788,0.6837382969237629,0.9977894189329766,0.6837382969237629
superflux,normal_no-sustain,24,19.562666666666665,10,10,6,170.4,0.476073073432979,0.476073073432979,0.476073073432979,0.36709106341700026,0.476073073432979,0.6075299193589809,0.9996746965261013,0.6075299193589809
superflux,normal_no-sustain,25,18.368,10,10,6,159.6,0.6656115264967526,0.6656115264967526,0.556495479270134,0.6756072351421188,0.556495479270134,0.6511488293401735,0.9969437319216286,0.6511488293401735
superflux,normal_no-sustain,26,18.602666666666668,14,14,13,122.21428571428571,0.27156491986313713,0.27156491986313713,0.27156491986313713,0.38824953013568164,0.27156491986313713,0.4965063929407527,0.959445344858635,0.4965063929407527
superflux,normal_no-sustain,27,20.405333333333335,10,10,5,171.3,0.14694934986144592,0.14694934986144592,0.14694934986144592,0.18229897683122803,0.14694934986144592,0.300851001033007,0.9982127338613148,0.300851001033007
superflux,normal_no-sustain,28,18.784,10,10,6,159.1,0.3694985376988372,0.3694985376988372,0.28914330551394535,0.3010076902678335,0.28914330551394535,0.45607746629574164,0.9225158713174977,0.45607746629574164
superflux,normal_no-sustain,29,18.485333333333333,10,10,6,153.0,0.22464633308006815,0.22464633308006815,0.22464633308006815,0.0,0.22464633308006815,0.27629436665581253,0.9977929736965881,0.27629436665581253
superflux,normal_no-sustain,30,20.650666666666666,10,10,5,166.9,0.39601680208890827,0.39601680208890827,0.39601680208890827,0.4455312738603768,0.39601680208890827,0.6189364083102225,0.9998378176746298,0.6189364083102225
superflux,normal_no-sustain,31,16.682666666666666,10,10,8,147.3,0.6028557063851182,0.6028557063851182,0.6028557063851182,0.78254468980021,0.6028557063851182,0.6687581699346404,0.9072699849170437,0.6687581699346404
annotated,normal_sustain,0,12.661333333333333,10,10,10,117.8,0.9957074721780603,0.9024377318494965,0.9020402755696872,0.8151661224278235,0.9020402755696872,0.7211446740858505,0.9418124006359301,0.7211446740858505
annotated,normal_sustain,1,11.349333333333334,10,10,10,105.5,0.9927587633741205,0.9927587633741205,0.9218833126440856,0.8527281224442107,0.9218833126440856,0.6922326653661997,0.9974581781639771,0.6922326653661997
annotated,normal_sustain,2,11.829333333333333,10,10,10,110.0,0.8876025084418716,0.8876025084418716,0.8876025084418716,0.8752333048622317,0.8876025084418716,0.6823869924235975,0.9984960699185608,0.6823869924235975
annotated,normal_sustain,3,12.181333333333333,10,10,10,113.3,0.9180196598188646,0.9180196598188646,0.9180196598188646,0.839366138448707,0.9180196598188646,0.7117296222664016,1.0,0.7117296222664016
annotated,normal_sustain,4,12.064,10,10,10,112.2,0.8772674321850558,0.7799411993121428,0.6853053752704277,0.7063403781979978,0.6853053752704277,0.697204193709436,0.9955067398901647,0.697204193709436
annotated,normal_sustain,5,11.530666666666667,10,10,10,107.2,0.7205616733671271,0.7202412165705296,0.7202412165705296,0.6431438127090302,0.7202412165705296,0.6169375983219718,0.9990094971741538,0.6169375983219718
