n,sink_class,sink_share,sink_share_excess,top3_share,pred_entropy_bits,n_classes_never_predicted,scaled_l2_median,scaled_l2_p99,scaled_l2_max,k_max_mean,k_max_median,variant,seed,dataset,sink_matches_zero_kernel_class
1440,C_diminished_4,0.2076388888888889,0.1798611111111111,0.2902777777777778,4.642053779683482,2,363.4375888692804,487.9328351662684,667.5873992855107,0.3964630765575219,0.3984451874464959,clean,42,thinkpad,True
1440,E_minor_4,0.0430555555555555,0.0152777777777777,0.1131944444444444,5.145483385862635,0,281.0487409191471,373.6714831423702,396.612004171596,0.5191330439880468,0.522098392298794,clean,42,vivo,False
1440,C_diminished_4,0.03125,0.0034722222222222,0.0895833333333333,5.169259633989163,0,302.1997374983333,367.4471423450238,437.756349699763,0.4718272692930283,0.4746708774978788,clean,42,flow,True
1440,C_diminished_4,0.4673611111111111,0.4395833333333333,0.6402777777777778,3.1001917372300394,9,397.10131436991946,525.6949044872115,593.8190562043189,0.3558012775124849,0.3498501342350728,clean,42,thinkpad-2,True
1440,C_diminished_4,0.1916666666666666,0.1638888888888889,0.3513888888888889,4.431409469905722,6,358.3101124124938,446.5377247398172,550.4176872146217,0.4102531283718478,0.4117741297552919,clean,42,flow-2,True
718,A#_diminished_4,0.0278551532033426,7.737542556484137e-05,0.0835654596100278,5.16982840424887,0,197.7040081651624,253.04421966893668,288.9929308139567,0.7611081932389625,0.7653975858478466,clean,43,test,False
718,A#_diminished_4,0.0278551532033426,7.737542556484137e-05,0.0835654596100278,5.16982840424887,0,198.50748049314288,265.065295445479,399.0428273090278,0.7607398108577416,0.7650985804605629,clean,43,val,False
1440,C_diminished_4,0.2659722222222222,0.2381944444444444,0.4013888888888889,4.301556818380941,4,362.9965877580184,487.2859905212104,666.5645203166534,0.4049284667060907,0.4068266808641325,clean,43,thinkpad,True
1440,G_minor_4,0.0409722222222222,0.0131944444444444,0.1111111111111111,5.151263347048149,0,280.8519049829458,373.4907794090639,396.0101675502126,0.5194923783689327,0.5220855276947102,clean,43,vivo,False
1440,C_diminished_4,0.0395833333333333,0.0118055555555555,0.1104166666666666,5.159922340487535,0,301.9861740615745,367.215917696883,436.9572632427089,0.4759511475479764,0.4773302077693849,clean,43,flow,True
1440,C_diminished_4,0.5506944444444445,0.5229166666666667,0.701388888888889,2.670149656436333,17,396.7728000146885,524.9994620025403,593.0189268232383,0.3604366962931526,0.3573237491879961,clean,43,thinkpad-2,True
1440,C_diminished_4,0.2659722222222222,0.2381944444444444,0.4041666666666666,4.163556397082336,7,358.0335339477528,446.1085001589578,550.3416926652634,0.4122595093886032,0.4158476570905374,clean,43,flow-2,True
718,A#_diminished_4,0.0278551532033426,7.737542556484137e-05,0.0835654596100278,5.16982840424887,0,197.8077711705641,254.6180294458107,289.8878313194186,0.7621014115832605,0.7665391529799821,clean,44,test,False
718,A#_diminished_4,0.0278551532033426,7.737542556484137e-05,0.0835654596100278,5.16982840424887,0,197.90022097254905,250.1426876812256,673.1651506511291,0.7598377148907749,0.7655273305028767,clean,44,val,False
1440,C_diminished_4,0.1958333333333333,0.1680555555555555,0.298611111111111,4.643386079573824,2,362.2280499465263,486.0152761282031,664.7301603567782,0.4100978336308474,0.4133912564338546,clean,44,thinkpad,True
1440,G_minor_4,0.0416666666666666,0.0138888888888888,0.1034722222222222,5.157219443371579,0,280.8702011731512,373.5568330333054,395.30173014512224,0.5193589509084758,0.5218609371115974,clean,44,vivo,False
1440,F#_major_4,0.0347222222222222,0.0069444444444444,0.0986111111111111,5.165772060968493,0,301.54462789706804,366.369523778862,435.8239168433524,0.4754189403859761,0.4762001872478307,clean,44,flow,False
1440,C_diminished_4,0.3965277777777777,0.3687499999999999,0.554861111111111,3.5471550385885897,9,396.1265143050565,524.3694123385629,592.6501775427485,0.3605161009448113,0.3574543607964247,clean,44,thinkpad-2,True
1440,C_diminished_4,0.1486111111111111,0.1208333333333333,0.2673611111111111,4.644665181026313,6,357.58610029295403,445.3914028098643,549.4319045959785,0.4136346379261566,0.4185713276378268,clean,44,flow-2,True
718,A#_diminished_4,0.0278551532033426,7.737542556484137e-05,0.0835654596100278,5.16982840424887,0,197.6279542207217,249.876183373883,282.7423547304391,0.7625132660251491,0.765240135134831,clean,45,test,False
718,A#_diminished_4,0.0278551532033426,7.737542556484137e-05,0.0835654596100278,5.16982840424887,0,197.42493139307567,256.98699447096067,303.4738649782514,0.7605489109376533,0.7647125483921242,clean,45,val,False
1440,C_diminished_4,0.2902777777777778,0.2625,0.4215277777777778,4.199784089620081,3,362.28236874998873,486.12760985205983,665.0217387825588,0.4083042916827339,0.410788877077535,clean,45,thinkpad,True
1440,G_minor_4,0.0444444444444444,0.0166666666666666,0.1118055555555555,5.147726329549679,0,280.72506838017614,373.4477406281848,395.1751149773221,0.5200244196241712,0.523257119362075,clean,45,vivo,False
1440,C_diminished_4,0.0409722222222222,0.0131944444444444,0.1027777777777777,5.163347319634247,0,301.5248012710676,366.3823264109401,436.0767780606019,0.476958858762015,0.4788007401320969,clean,45,flow,True
1440,C_diminished_4,0.5472222222222223,0.5194444444444445,0.676388888888889,2.778982943842747,15,396.1425415046588,524.3228987120356,592.3661476208291,0.3601004923701206,0.3558562395189771,clean,45,thinkpad-2,True
1440,C_diminished_4,0.2951388888888889,0.2673611111111111,0.4347222222222222,4.080925651676786,6,357.4718961551685,445.40900025196345,549.4047871135797,0.4128509349532228,0.416840261668255,clean,45,flow-2,True
718,A#_diminished_4,0.0278551532033426,7.737542556484137e-05,0.0835654596100278,5.16982840424887,0,198.24255811878007,253.4836699666732,345.674464178088,0.7620381225879486,0.7651237070694936,clean,46,test,False
718,A#_diminished_4,0.0278551532033426,7.737542556484137e-05,0.0835654596100278,5.16982840424887,0,198.5402750332156,262.14301316981727,303.1287349414214,0.7606964355346032,0.7650287786069006,clean,46,val,False
1440,C_diminished_4,0.2840277777777777,0.25625,0.4034722222222222,4.252842903916344,4,362.88063919836446,486.97138768157953,666.1147812296265,0.404191244628321,0.40821520239977,clean,46,thinkpad,True
1440,G_minor_4,0.04375,0.0159722222222222,0.1097222222222222,5.151010544672316,0,280.8884291801148,373.6612985503172,395.5905492664832,0.519260998629873,0.5217378539569216,clean,46,vivo,False
1440,C_diminished_4,0.0395833333333333,0.0118055555555555,0.1027777777777777,5.1640111573369065,0,301.887262575696,366.9627048694807,436.6440804351501,0.4763342481349149,0.47783833421487,clean,46,flow,True
1440,C_diminished_4,0.5604166666666667,0.5326388888888889,0.673611111111111,2.7199910400067995,15,396.8641464157973,525.2303818244529,592.9922868235861,0.3564668568002266,0.35402902360916,clean,46,thinkpad-2,True
1440,C_diminished_4,0.2805555555555555,0.2527777777777777,0.3944444444444445,4.2003669483416735,6,358.18569680510734,446.1271723129093,550.7375362709004,0.4123348861434421,0.4166866908734695,clean,46,flow-2,True
718,A#_diminished_4,0.0278551532033426,7.737542556484137e-05,0.0835654596100278,5.16982840424887,0,197.3718712627646,249.75833799131496,348.57106593020933,0.7615467936109943,0.7662084376434207,clean-fixed,42,test,False
718,A#_diminished_4,0.0278551532033426,7.737542556484137e-05,0.0835654596100278,5.169722601445454,0,197.91833804460555,253.61915234873345,295.37252285952417,0.7633849395866659,0.7663397217113195,clean-fixed,42,val,False
1440,C_diminished_4,0.1805555555555555,0.1527777777777778,0.3,4.682432058191902,2,361.65484726112106,485.4630634207952,663.9192610304603,0.4082251333141212,0.4122269606826727,clean-fixed,42,thinkpad,True
1440,E_minor_4,0.0451388888888888,0.0173611111111111,0.1166666666666666,5.141657443388856,0,280.89709948782587,373.7016256895051,394.6934844111696,0.5192561154851132,0.5210980206428404,clean-fixed,42,vivo,False
1440,F#_major_4,0.0423611111111111,0.0145833333333333,0.1041666666666666,5.158812038702303,0,301.1789821970917,365.9668831166659,435.188761480419,0.4756712143002804,0.4788452792395468,clean-fixed,42,flow,False
1440,C_diminished_4,0.425,0.3972222222222222,0.5923611111111111,3.341833344904142,11,395.5492121345226,523.7420912872777,591.9230816515591,0.3607391848891846,0.3566586645067594,clean-fixed,42,thinkpad-2,True
1440,C_diminished_4,0.18125,0.1534722222222222,0.3041666666666666,4.564014062939931,4,356.98951837397726,444.7405410147145,549.1168900042122,0.4141316149240659,0.4179969599947661,clean-fixed,42,flow-2,True
717,A#_diminished_4,0.0278940027894002,0.0001162250116225,0.0836820083682008,5.169460362087667,0,197.94132122313871,250.3314772288993,303.6771340462284,0.7611450544631483,0.7653908840273224,clean-fixed,43,test,False
719,A#_diminished_4,0.0278164116828929,3.863390511513187e-05,0.0834492350486787,5.169875374658238,0,197.9545826898957,247.80215297329227,673.7220827471785,0.7606306006894028,0.7651030572287605,clean-fixed,43,val,False
1440,C_diminished_4,0.1875,0.1597222222222222,0.2763888888888889,4.711045528335352,1,362.48112183958426,486.410323463664,665.5789421730319,0.4072187038885251,0.4118201296401655,clean-fixed,43,thinkpad,True
1440,G_minor_4,0.04375,0.0159722222222222,0.1159722222222222,5.1410388577908375,0,280.93152714034375,373.6667661755221,395.513063515788,0.5198293001554524,0.5221394977423506,clean-fixed,43,vivo,False
1440,F#_major_4,0.0319444444444444,0.0041666666666666,0.0930555555555555,5.168379586866826,0,301.7122222329027,366.5388458947836,436.0780105748295,0.4742547783295184,0.475698693412422,clean-fixed,43,flow,False
1440,C_diminished_4,0.4055555555555555,0.3777777777777777,0.5451388888888888,3.469690927175153,9,396.4573305385276,524.8590847274082,592.9948978279216,0.3611690420266804,0.3566656970766159,clean-fixed,43,thinkpad-2,True
1440,C_diminished_4,0.1548611111111111,0.1270833333333333,0.2861111111111111,4.651635487746036,4,357.88098720578705,445.7272007339761,549.9932352127618,0.4131955866139099,0.4170152361685163,clean-fixed,43,flow-2,True
719,A#_diminished_4,0.0278164116828929,3.863390511513187e-05,0.0834492350486787,5.169875374658238,0,198.07004446779203,249.0143696341999,302.0757080480066,0.7620798147458026,0.7658688778697992,clean-fixed,44,test,False
717,A#_diminished_4,0.0278940027894002,0.0001162250116225,0.0836820083682008,5.169460362087667,0,197.60896545414852,250.270678708634,277.72538346562607,0.7639660486660746,0.7665877343703766,clean-fixed,44,val,False
1440,C_diminished_4,0.2666666666666666,0.2388888888888888,0.3986111111111111,4.260154410283961,5,361.7233245284648,485.4960643913049,663.9088702683665,0.4083928673164412,0.4107428094365827,clean-fixed,44,thinkpad,True
1440,E_minor_4,0.0479166666666666,0.0201388888888888,0.1173611111111111,5.135834526334556,0,280.69556075207913,373.2863099596634,394.5840982621,0.5202171586428291,0.5223141090330793,clean-fixed,44,vivo,False
1440,C_diminished_4,0.0409722222222222,0.0131944444444444,0.1097222222222222,5.159419506715503,0,301.1881458145036,366.0429464976806,435.1102520087542,0.4757003073537163,0.4775594090014834,clean-fixed,44,flow,True
1440,C_diminished_4,0.5201388888888889,0.4923611111111111,0.6506944444444445,2.8899553112480403,16,395.81747106089176,523.690097958755,591.7544803651915,0.3609069658362814,0.3570952679023447,clean-fixed,44,thinkpad-2,True
1440,C_diminished_4,0.2618055555555555,0.2340277777777777,0.3902777777777778,4.235973163309186,6,357.28727112998683,444.8396980328996,549.3114363518473,0.4139238797627533,0.4168487587343812,clean-fixed,44,flow-2,True
719,A#_diminished_4,0.0278164116828929,3.863390511513187e-05,0.0834492350486787,5.169875374658238,0,197.81788487144877,251.06760871024488,399.2612232835433,0.7618810841736593,0.7656688707897672,clean-fixed,45,test,False
712,A#_diminished_4,0.0280898876404494,0.0003121098626716,0.0842696629213483,5.168274014500938,0,197.84332711811092,252.39291124844087,291.566557803953,0.7605045029332267,0.7644691662828551,clean-fixed,45,val,False
1440,C_diminished_4,0.2868055555555555,0.2590277777777777,0.4159722222222222,4.191638260548185,4,362.7382803523379,486.7727128292832,665.9520400519157,0.4066634060970506,0.4091533765453045,clean-fixed,45,thinkpad,True
1440,G_minor_4,0.0486111111111111,0.0208333333333333,0.1145833333333333,5.138664347131021,0,280.95503507242347,373.66654578083467,395.6211442966742,0.5187490857476554,0.5199773099089939,clean-fixed,45,vivo,False
1440,C_diminished_4,0.0402777777777777,0.0125,0.1097222222222222,5.160239923644618,0,301.85162652050985,366.8507165158478,436.6821589596752,0.4755732551640771,0.4780688466141066,clean-fixed,45,flow,True
1440,C_diminished_4,0.5173611111111112,0.4895833333333333,0.6465277777777778,2.870485512766315,17,396.5754687493446,524.8277965062822,592.7650152226738,0.3596355802907339,0.3566868366411823,clean-fixed,45,thinkpad-2,True
1440,C_diminished_4,0.275,0.2472222222222222,0.3972222222222222,4.174333189441746,7,357.8286957128537,445.7895139465976,549.9337620064821,0.4123692686820467,0.415435343903781,clean-fixed,45,flow-2,True
716,A#_diminished_4,0.027932960893854747,0.00015518311607697066,0.08379888268156424,5.169418297403795,0,197.7335655861205,259.0088959109176,345.1041811648289,0.7629983452566559,0.7657962940037378,clean-fixed,46,test,False
717,A#_diminished_4,0.02789400278940028,0.00011622501162250262,0.08368200836820083,5.169678154859792,0,197.82563058405228,257.8929664404399,289.781131907479,0.762031834421021,0.76597558358852,clean-fixed,46,val,False
1440,C_diminished_4,0.2548611111111111,0.2270833333333333,0.3784722222222222,4.38548543664401,2,362.0576530638988,485.90486071621604,664.6614873464258,0.4064091731741974,0.41186139227202156,clean-fixed,46,thinkpad,True
1440,G_minor_4,0.043055555555555555,0.015277777777777779,0.11597222222222223,5.142901703595054,0,280.78802780929556,373.548535410666,394.9781047281913,0.5198540155072565,0.5205423387736583,clean-fixed,46,vivo,False
1440,C_diminished_4,0.03958333333333333,0.011805555555555555,0.10833333333333334,5.158030043432122,0,301.41197983883217,366.3266135665535,435.8002779726131,0.4767104069141057,0.4781859824068603,clean-fixed,46,flow,True
1440,C_diminished_4,0.53125,0.5034722222222222,0.6611111111111111,2.8701613643735993,14,395.8972372892224,523.9629930482581,591.895681565456,0.3570458045606297,0.3560218073758772,clean-fixed,46,thinkpad-2,True
1440,C_diminished_4,0.2513888888888889,0.2236111111111111,0.37222222222222223,4.333794570242635,5,357.31885786059445,445.14236206478034,549.3935074085935,0.4137351139313536,0.4182508238449423,clean-fixed,46,flow-2,True
