variant,seed,dataset,overlay,factor,accuracy,macro_precision,macro_recall,macro_f1
orig,45,thinkpad,noise,environment,0.8895833333333333,0.9264355501933652,0.8895833333333333,0.8858965662250381
orig,45,thinkpad,rir,environment,0.9305555555555556,0.943010535921964,0.9305555555555556,0.91944577831523
orig,45,thinkpad,dir,recording-setting,0.9604166666666668,0.9685542585955944,0.9604166666666668,0.9548434868085734
orig,45,vivo,noise,environment,0.8972222222222223,0.9132591238380608,0.8972222222222221,0.8945943863918077
orig,45,vivo,rir,environment,0.8930555555555556,0.918795352213394,0.8930555555555557,0.8893404545414089
orig,45,vivo,dir,recording-setting,0.9472222222222222,0.9588777550919774,0.9472222222222224,0.9466893402054904
orig,45,flow,noise,environment,0.9291666666666668,0.943411873907185,0.9291666666666668,0.9320818947457576
orig,45,flow,rir,environment,0.9625,0.9658158551114936,0.9625,0.9613143865023908
orig,45,flow,dir,recording-setting,0.9833333333333332,0.9851258919683752,0.9833333333333332,0.983105408401149
orig,45,thinkpad-2,noise,environment,0.6548611111111111,0.7069828009805009,0.6548611111111112,0.624947671833362
orig,45,thinkpad-2,rir,environment,0.7361111111111112,0.7596024146963278,0.736111111111111,0.6905098036324584
orig,45,thinkpad-2,dir,recording-setting,0.7763888888888889,0.7553247718184304,0.7763888888888889,0.7244086570788041
orig,45,flow-2,noise,environment,0.6909722222222222,0.7058201596483618,0.6909722222222222,0.6512891019861627
orig,45,flow-2,rir,environment,0.7534722222222222,0.7609401476774289,0.7534722222222222,0.7114706341477718
orig,45,flow-2,dir,recording-setting,0.8006944444444445,0.8276069230081584,0.8006944444444444,0.7543297355932945
orig,46,thinkpad,noise,environment,0.9527777777777776,0.960087143622236,0.9527777777777776,0.9534957407739356
orig,46,thinkpad,rir,environment,0.9506944444444444,0.954684837463102,0.9506944444444444,0.9499786460642512
orig,46,thinkpad,dir,recording-setting,0.9895833333333334,0.990178751523051,0.9895833333333334,0.9895893316774718
orig,46,vivo,noise,environment,0.8930555555555556,0.9183126395103192,0.8930555555555555,0.8848644070318212
orig,46,vivo,rir,environment,0.8902777777777777,0.9179589339156464,0.8902777777777777,0.8832427681827779
orig,46,vivo,dir,recording-setting,0.9430555555555556,0.96046708387239,0.9430555555555556,0.9347069892214888
orig,46,flow,noise,environment,0.9541666666666668,0.95912649207907,0.9541666666666668,0.9548163635216436
orig,46,flow,rir,environment,0.9618055555555556,0.9661742365032554,0.9618055555555558,0.9614020304550094
orig,46,flow,dir,recording-setting,0.9895833333333334,0.9902740967774156,0.9895833333333334,0.9895359804578971
orig,46,thinkpad-2,noise,environment,0.8368055555555556,0.8435731991068993,0.8368055555555556,0.8209240069252103
orig,46,thinkpad-2,rir,environment,0.8680555555555556,0.889838003155469,0.8680555555555555,0.8570496729431601
orig,46,thinkpad-2,dir,recording-setting,0.9041666666666668,0.9084305409750996,0.9041666666666668,0.8832406829833377
orig,46,flow-2,noise,environment,0.8409722222222222,0.8704589371215978,0.8409722222222222,0.8255870900403735
orig,46,flow-2,rir,environment,0.8881944444444444,0.913313848166152,0.8881944444444446,0.8814749091025971
orig,46,flow-2,dir,recording-setting,0.9097222222222222,0.9145163892221638,0.9097222222222222,0.8872171023637989
clean,43,thinkpad,noise,environment,0.8458333333333333,0.8720791386198623,0.8458333333333332,0.8449794025802785
clean,43,thinkpad,rir,environment,0.8645833333333334,0.8835256185580284,0.8645833333333334,0.8608339388020729
clean,43,thinkpad,dir,recording-setting,0.9631944444444444,0.973325684856776,0.9631944444444444,0.9593662174049452
clean,43,vivo,noise,environment,0.675,0.7012547107483773,0.6749999999999999,0.6530766967819321
