variant,seed,dataset,class,recall
orig,43,thinkpad-2,F_minor_4,1.0
orig,43,thinkpad-2,G#_diminished_4,0.925
orig,43,thinkpad-2,G#_major_4,1.0
orig,43,thinkpad-2,G#_minor_4,1.0
orig,43,thinkpad-2,G_diminished_4,0.775
orig,43,thinkpad-2,G_major_4,1.0
orig,43,thinkpad-2,G_minor_4,1.0
orig,43,flow-2,A#_diminished_4,0.35
orig,43,flow-2,A#_major_4,0.95
orig,43,flow-2,A#_minor_4,0.55
orig,43,flow-2,A_diminished_4,0.0
orig,43,flow-2,A_major_4,0.975
orig,43,flow-2,A_minor_4,0.875
orig,43,flow-2,B_diminished_4,0.6
orig,43,flow-2,B_major_4,0.3
orig,43,flow-2,B_minor_4,0.95
orig,43,flow-2,C#_diminished_4,1.0
orig,43,flow-2,C#_major_4,0.0
orig,43,flow-2,C#_minor_4,0.375
orig,43,flow-2,C_diminished_4,0.875
orig,43,flow-2,C_major_4,1.0
orig,43,flow-2,C_minor_4,0.175
orig,43,flow-2,D#_diminished_4,0.975
orig,43,flow-2,D#_major_4,1.0
orig,43,flow-2,D#_minor_4,1.0
orig,43,flow-2,D_diminished_4,0.1
orig,43,flow-2,D_major_4,0.0
orig,43,flow-2,D_minor_4,0.0
orig,43,flow-2,E_diminished_4,1.0
orig,43,flow-2,E_major_4,0.975
orig,43,flow-2,E_minor_4,1.0
orig,43,flow-2,F#_diminished_4,0.925
orig,43,flow-2,F#_major_4,0.925
orig,43,flow-2,F#_minor_4,0.775
orig,43,flow-2,F_diminished_4,0.6
orig,43,flow-2,F_major_4,1.0
orig,43,flow-2,F_minor_4,1.0
orig,43,flow-2,G#_diminished_4,0.725
orig,43,flow-2,G#_major_4,1.0
orig,43,flow-2,G#_minor_4,1.0
orig,43,flow-2,G_diminished_4,0.975
orig,43,flow-2,G_major_4,1.0
orig,43,flow-2,G_minor_4,1.0
orig,44,thinkpad,A#_diminished_4,1.0
orig,44,thinkpad,A#_major_4,1.0
orig,44,thinkpad,A#_minor_4,1.0
orig,44,thinkpad,A_diminished_4,0.575
orig,44,thinkpad,A_major_4,1.0
orig,44,thinkpad,A_minor_4,1.0
orig,44,thinkpad,B_diminished_4,1.0
orig,44,thinkpad,B_major_4,1.0
orig,44,thinkpad,B_minor_4,1.0
orig,44,thinkpad,C#_diminished_4,1.0
orig,44,thinkpad,C#_major_4,0.925
orig,44,thinkpad,C#_minor_4,1.0
orig,44,thinkpad,C_diminished_4,1.0
orig,44,thinkpad,C_major_4,1.0
orig,44,thinkpad,C_minor_4,1.0
orig,44,thinkpad,D#_diminished_4,1.0
orig,44,thinkpad,D#_major_4,1.0
orig,44,thinkpad,D#_minor_4,1.0
orig,44,thinkpad,D_diminished_4,1.0
orig,44,thinkpad,D_major_4,0.975
orig,44,thinkpad,D_minor_4,0.5
orig,44,thinkpad,E_diminished_4,1.0
orig,44,thinkpad,E_major_4,1.0
orig,44,thinkpad,E_minor_4,1.0
