variant,seed,dataset,class,recall
clean,42,vivo,D#_minor_4,1.0
clean,42,vivo,D_diminished_4,1.0
clean,42,vivo,D_major_4,1.0
clean,42,vivo,D_minor_4,1.0
clean,42,vivo,E_diminished_4,1.0
clean,42,vivo,E_major_4,1.0
clean,42,vivo,E_minor_4,1.0
clean,42,vivo,F#_diminished_4,1.0
clean,42,vivo,F#_major_4,1.0
clean,42,vivo,F#_minor_4,1.0
clean,42,vivo,F_diminished_4,1.0
clean,42,vivo,F_major_4,1.0
clean,42,vivo,F_minor_4,1.0
clean,42,vivo,G#_diminished_4,1.0
clean,42,vivo,G#_major_4,1.0
clean,42,vivo,G#_minor_4,1.0
clean,42,vivo,G_diminished_4,1.0
clean,42,vivo,G_major_4,1.0
clean,42,vivo,G_minor_4,1.0
clean,42,flow,A#_diminished_4,1.0
clean,42,flow,A#_major_4,1.0
clean,42,flow,A#_minor_4,1.0
clean,42,flow,A_diminished_4,1.0
clean,42,flow,A_major_4,1.0
clean,42,flow,A_minor_4,1.0
clean,42,flow,B_diminished_4,1.0
clean,42,flow,B_major_4,1.0
clean,42,flow,B_minor_4,1.0
clean,42,flow,C#_diminished_4,1.0
clean,42,flow,C#_major_4,1.0
clean,42,flow,C#_minor_4,1.0
clean,42,flow,C_diminished_4,1.0
clean,42,flow,C_major_4,1.0
clean,42,flow,C_minor_4,1.0
clean,42,flow,D#_diminished_4,1.0
clean,42,flow,D#_major_4,1.0
clean,42,flow,D#_minor_4,1.0
clean,42,flow,D_diminished_4,1.0
clean,42,flow,D_major_4,1.0
clean,42,flow,D_minor_4,1.0
clean,42,flow,E_diminished_4,1.0
clean,42,flow,E_major_4,1.0
clean,42,flow,E_minor_4,1.0
clean,42,flow,F#_diminished_4,1.0
clean,42,flow,F#_major_4,1.0
clean,42,flow,F#_minor_4,1.0
clean,42,flow,F_diminished_4,1.0
clean,42,flow,F_major_4,1.0
clean,42,flow,F_minor_4,1.0
clean,42,flow,G#_diminished_4,1.0
clean,42,flow,G#_major_4,1.0
clean,42,flow,G#_minor_4,1.0
clean,42,flow,G_diminished_4,1.0
clean,42,flow,G_major_4,1.0
clean,42,flow,G_minor_4,1.0
clean,42,thinkpad-2,A#_diminished_4,1.0
clean,42,thinkpad-2,A#_major_4,1.0
clean,42,thinkpad-2,A#_minor_4,1.0
clean,42,thinkpad-2,A_diminished_4,1.0
clean,42,thinkpad-2,A_major_4,1.0
clean,42,thinkpad-2,A_minor_4,1.0
clean,42,thinkpad-2,B_diminished_4,1.0
clean,42,thinkpad-2,B_major_4,1.0
clean,42,thinkpad-2,B_minor_4,1.0
clean,42,thinkpad-2,C#_diminished_4,1.0
clean,42,thinkpad-2,C#_major_4,1.0
clean,42,thinkpad-2,C#_minor_4,1.0
clean,42,thinkpad-2,C_diminished_4,1.0
clean,42,thinkpad-2,C_major_4,1.0
clean,42,thinkpad-2,C_minor_4,1.0
clean,42,thinkpad-2,D#_diminished_4,1.0
clean,42,thinkpad-2,D#_major_4,1.0
clean,42,thinkpad-2,D#_minor_4,1.0
clean,42,thinkpad-2,D_diminished_4,1.0
clean,42,thinkpad-2,D_major_4,1.0
clean,42,thinkpad-2,D_minor_4,1.0
clean,42,thinkpad-2,E_diminished_4,1.0
clean,42,thinkpad-2,E_major_4,1.0
clean,42,thinkpad-2,E_minor_4,1.0
clean,42,thinkpad-2,F#_diminished_4,1.0
clean,42,thinkpad-2,F#_major_4,1.0
clean,42,thinkpad-2,F#_minor_4,1.0
clean,42,thinkpad-2,F_diminished_4,1.0
clean,42,thinkpad-2,F_major_4,1.0
clean,42,thinkpad-2,F_minor_4,1.0
clean,42,thinkpad-2,G#_diminished_4,1.0
clean,42,thinkpad-2,G#_major_4,1.0
clean,42,thinkpad-2,G#_minor_4,1.0
clean,42,thinkpad-2,G_diminished_4,1.0
clean,42,thinkpad-2,G_major_4,1.0
clean,42,thinkpad-2,G_minor_4,1.0
clean,42,flow-2,A#_diminished_4,1.0
clean,42,flow-2,A#_major_4,1.0
clean,42,flow-2,A#_minor_4,1.0
clean,42,flow-2,A_diminished_4,1.0
clean,42,flow-2,A_major_4,1.0
clean,42,flow-2,A_minor_4,1.0
clean,42,flow-2,B_diminished_4,1.0
clean,42,flow-2,B_major_4,1.0
clean,42,flow-2,B_minor_4,1.0
clean,42,flow-2,C#_diminished_4,1.0
clean,42,flow-2,C#_major_4,1.0
clean,42,flow-2,C#_minor_4,1.0
clean,42,flow-2,C_diminished_4,1.0
clean,42,flow-2,C_major_4,1.0
clean,42,flow-2,C_minor_4,1.0
clean,42,flow-2,D#_diminished_4,1.0
clean,42,flow-2,D#_major_4,1.0
clean,42,flow-2,D#_minor_4,1.0
clean,42,flow-2,D_diminished_4,1.0
clean,42,flow-2,D_major_4,1.0
clean,42,flow-2,D_minor_4,1.0
clean,42,flow-2,E_diminished_4,1.0
clean,42,flow-2,E_major_4,1.0
clean,42,flow-2,E_minor_4,1.0
clean,42,flow-2,F#_diminished_4,1.0
clean,42,flow-2,F#_major_4,1.0
clean,42,flow-2,F#_minor_4,1.0
clean,42,flow-2,F_diminished_4,1.0
clean,42,flow-2,F_major_4,1.0
clean,42,flow-2,F_minor_4,1.0
clean,42,flow-2,G#_diminished_4,1.0
clean,42,flow-2,G#_major_4,1.0
clean,42,flow-2,G#_minor_4,1.0
clean,42,flow-2,G_diminished_4,1.0
clean,42,flow-2,G_major_4,1.0
clean,42,flow-2,G_minor_4,1.0
