variant,seed,dataset,overlay,class,recall
clean,42,vivo,rir,D_diminished_4,1.0
clean,42,vivo,rir,D_major_4,1.0
clean,42,vivo,rir,D_minor_4,1.0
clean,42,vivo,rir,E_diminished_4,0.975
clean,42,vivo,rir,E_major_4,1.0
clean,42,vivo,rir,E_minor_4,1.0
clean,42,vivo,rir,F#_diminished_4,1.0
clean,42,vivo,rir,F#_major_4,1.0
clean,42,vivo,rir,F#_minor_4,1.0
clean,42,vivo,rir,F_diminished_4,1.0
clean,42,vivo,rir,F_major_4,1.0
clean,42,vivo,rir,F_minor_4,1.0
clean,42,vivo,rir,G#_diminished_4,1.0
clean,42,vivo,rir,G#_major_4,1.0
clean,42,vivo,rir,G#_minor_4,1.0
clean,42,vivo,rir,G_diminished_4,1.0
clean,42,vivo,rir,G_major_4,1.0
clean,42,vivo,rir,G_minor_4,1.0
clean,42,vivo,dir,A#_diminished_4,1.0
clean,42,vivo,dir,A#_major_4,1.0
clean,42,vivo,dir,A#_minor_4,1.0
clean,42,vivo,dir,A_diminished_4,1.0
clean,42,vivo,dir,A_major_4,1.0
clean,42,vivo,dir,A_minor_4,1.0
clean,42,vivo,dir,B_diminished_4,1.0
clean,42,vivo,dir,B_major_4,1.0
clean,42,vivo,dir,B_minor_4,1.0
clean,42,vivo,dir,C#_diminished_4,1.0
clean,42,vivo,dir,C#_major_4,1.0
clean,42,vivo,dir,C#_minor_4,1.0
clean,42,vivo,dir,C_diminished_4,1.0
clean,42,vivo,dir,C_major_4,1.0
clean,42,vivo,dir,C_minor_4,1.0
clean,42,vivo,dir,D#_diminished_4,1.0
clean,42,vivo,dir,D#_major_4,1.0
clean,42,vivo,dir,D#_minor_4,1.0
clean,42,vivo,dir,D_diminished_4,1.0
clean,42,vivo,dir,D_major_4,1.0
clean,42,vivo,dir,D_minor_4,1.0
clean,42,vivo,dir,E_diminished_4,1.0
clean,42,vivo,dir,E_major_4,1.0
clean,42,vivo,dir,E_minor_4,1.0
clean,42,vivo,dir,F#_diminished_4,1.0
clean,42,vivo,dir,F#_major_4,1.0
clean,42,vivo,dir,F#_minor_4,1.0
clean,42,vivo,dir,F_diminished_4,1.0
