detector,dataset,sample_index,duration,n_onsets,n_segments,n_truncated,mean_window_frames,root,thirds,triads,majmin,mirex,underseg,overseg,seg
spectral-flux,broken_sustain,9,19.562666666666665,9,9,6,169.77777777777777,0.8519354011791848,0.8519354011791848,0.7920704092967615,0.9901370984243909,0.7920704092967615,0.6876869178843033,0.9880030761343244,0.6876869178843033
spectral-flux,broken_sustain,10,18.784,10,10,7,161.4,0.978155512793101,0.8903143040410518,0.8903143040410518,0.8570580412273201,0.8903143040410518,0.6797983037559692,0.978155512793101,0.6797983037559692
spectral-flux,broken_sustain,11,20.82133333333333,10,10,3,163.5,0.9838072289156626,0.9838072289156626,0.9838072289156626,0.9909970488251336,0.9838072289156626,0.7181686746987952,0.9841927710843373,0.7181686746987952
spectral-flux,broken_sustain,12,21.184,10,10,6,171.2,0.9885695313982168,0.9885695313982168,0.9885695313982168,0.9910953821565159,0.9885695313982168,0.7210048694112439,0.9916050085372795,0.7210048694112439
spectral-flux,broken_sustain,13,20.405333333333335,10,10,4,168.7,0.9915437561455258,0.9910357259914779,0.9910357259914779,0.9910357259914779,0.9910357259914779,0.7497705670272041,0.9921665027859717,0.7497705670272041
spectral-flux,broken_sustain,14,21.781333333333333,10,10,4,181.9,0.9898051480169864,0.9898051480169864,0.9898051480169864,0.9885721706382703,0.9898051480169864,0.7171656778426774,0.9910775881893022,0.7171656778426774
spectral-flux,broken_sustain,15,19.744,10,10,5,165.8,0.9857450014390441,0.9853048233362116,0.9853048233362116,0.9830857513073259,0.9853048233362116,0.7174903076167742,0.9857957912201398,0.7174903076167742
spectral-flux,broken_sustain,16,18.730666666666668,10,10,8,161.6,0.9843191884554939,0.9843191884554939,0.9842834690670098,0.9824194377156279,0.9842834690670098,0.6880982997571082,0.9842834690670098,0.6880982997571082
spectral-flux,broken_sustain,17,20.88533333333333,10,10,6,168.0,0.988371163043652,0.988371163043652,0.988371163043652,0.9896596053881841,0.988371163043652,0.6885487147495881,0.9894748628373082,0.6885487147495881
spectral-flux,broken_sustain,18,19.989333333333335,10,10,6,172.8,0.9852212626364064,0.9852212626364064,0.9852212626364064,0.9851315515032331,0.9852212626364064,0.7421503648657695,0.9870623284461405,0.7421503648657695
spectral-flux,broken_sustain,19,20.650666666666666,10,10,4,167.3,0.9860126274890721,0.9860126274890721,0.9860126274890721,0.9866142699250889,0.9860126274890721,0.7135826452970698,0.9862392747288327,0.7135826452970698
spectral-flux,normal_no-sustain,0,18.549333333333333,10,10,7,162.7,0.9890018750901485,0.9880282705899323,0.9880282705899323,0.9867795370225217,0.9880282705899323,0.6874188662916486,0.9978544641569307,0.6874188662916486
spectral-flux,normal_no-sustain,1,20.469333333333335,10,10,5,172.9,0.990268714325434,0.990268714325434,0.990268714325434,0.9907402498718832,0.990268714325434,0.6962530461377427,0.990268714325434,0.6962530461377427
spectral-flux,normal_no-sustain,2,20.469333333333335,10,10,5,169.9,0.9887697305061784,0.9887697305061784,0.9887697305061784,0.9900689246275849,0.9887697305061784,0.7143463428170347,0.9963762793203076,0.7143463428170347
spectral-flux,normal_no-sustain,3,20.586666666666666,10,10,5,168.6,0.992668097281831,0.992668097281831,0.992668097281831,0.9930033977110158,0.992668097281831,0.6889224866692676,0.9963746911171805,0.6889224866692676
spectral-flux,normal_no-sustain,4,19.925333333333334,10,10,6,166.0,0.9931564433683077,0.992904223836427,0.992904223836427,0.9941426391123211,0.992904223836427,0.671576540220608,0.9960149313962872,0.671576540220608
spectral-flux,normal_no-sustain,5,19.925333333333334,10,10,5,163.0,0.9879524145579188,0.9879524145579188,0.9879524145579188,0.989172716680111,0.9879524145579188,0.6644655039150451,0.9891454111637594,0.6644655039150451
spectral-flux,normal_no-sustain,6,21.482666666666667,10,10,3,180.5,0.9820795221205898,0.9820795221205898,0.9820795221205898,0.9976012871142313,0.9820795221205898,0.7254215667973367,0.9953332088855702,0.7254215667973367
spectral-flux,normal_no-sustain,7,20.405333333333335,10,10,5,167.9,0.9893714585175725,0.9893714585175725,0.9893714585175725,0.9935522567101516,0.9893714585175725,0.7180570567619797,0.9897972552487637,0.7180570567619797
spectral-flux,normal_no-sustain,8,18.186666666666667,10,10,6,157.4,0.9919031320157518,0.9919031320157518,0.9919031320157518,0.9919031320157518,0.9919031320157518,0.6853446689485112,0.9925840050053365,0.6853446689485112
spectral-flux,normal_no-sustain,9,15.904,10,10,8,139.1,0.9919064179576351,0.9919064179576351,0.9919064179576351,0.9915045597974965,0.9919064179576351,0.7109284434608494,0.9960164400885235,0.7109284434608494
spectral-flux,normal_no-sustain,10,14.826666666666666,10,10,9,135.8,0.9930267834906837,0.9930267834906837,0.9930267834906837,0.9922298746184316,0.9930267834906837,0.6916162919694809,0.9993887115397677,0.6916162919694809
spectral-flux,normal_no-sustain,11,17.642666666666667,10,10,5,157.1,0.994752751953459,0.994752751953459,0.994182398904922,0.9952995299529953,0.994182398904922,0.6956406015323485,0.9978706819521284,0.6956406015323485
spectral-flux,normal_no-sustain,12,18.421333333333333,10,10,5,158.3,0.9980734278444201,0.9979643765903307,0.9979643765903307,0.9970649056100326,0.9979643765903307,0.7442929843693205,0.998291530352599,0.7442929843693205
spectral-flux,normal_no-sustain,13,20.341333333333335,10,10,5,173.5,0.991460150104285,0.9909181980916724,0.9909181980916724,0.9867518748723341,0.9909181980916724,0.667734147903631,0.9920021021168974,0.667734147903631
spectral-flux,normal_no-sustain,14,20.82133333333333,10,10,5,174.3,0.9907568158436213,0.9907568158436213,0.9907568158436213,0.9899917029661891,0.9907568158436213,0.7413355195473249,0.9958686985596706,0.7413355195473249
spectral-flux,normal_no-sustain,15,17.226666666666667,10,10,7,146.4,0.9945422056481372,0.9943285553354309,0.9943285553354309,0.9964769145188207,0.9943285553354309,0.6923047041914308,0.9966592860195003,0.6923047041914308
