from,to,n,correct,missed,recall
C min,A♯ maj,1,1,0,1.0
C min,A♯ min,1,1,0,1.0
C min,B dim,1,1,0,1.0
C min,B maj,1,1,0,1.0
C min,C maj,1,1,0,1.0
C min,C♯ dim,1,1,0,1.0
C min,C♯ min,1,1,0,1.0
C min,D maj,1,1,0,1.0
C min,F min,1,1,0,1.0
C min,F♯ min,1,1,0,1.0
C min,G♯ dim,1,1,0,1.0
C min,G♯ min,1,1,0,1.0
C♯ dim,A dim,1,1,0,1.0
C♯ dim,A min,1,1,0,1.0
C♯ dim,A♯ maj,1,1,0,1.0
C♯ dim,B dim,1,1,0,1.0
C♯ dim,B maj,1,1,0,1.0
C♯ dim,C maj,1,1,0,1.0
C♯ dim,D♯ min,1,1,0,1.0
C♯ dim,F dim,1,1,0,1.0
C♯ dim,F♯ dim,1,1,0,1.0
C♯ dim,F♯ maj,1,1,0,1.0
C♯ dim,F♯ min,1,1,0,1.0
C♯ dim,G dim,1,1,0,1.0
C♯ dim,G min,1,1,0,1.0
C♯ dim,G♯ dim,1,1,0,1.0
C♯ maj,A dim,1,1,0,1.0
C♯ maj,A♯ maj,1,1,0,1.0
C♯ maj,A♯ min,1,1,0,1.0
C♯ maj,B dim,1,1,0,1.0
C♯ maj,B maj,1,1,0,1.0
C♯ maj,B min,1,1,0,1.0
C♯ maj,D dim,1,1,0,1.0
C♯ maj,E dim,1,1,0,1.0
C♯ maj,F maj,1,1,0,1.0
C♯ maj,F♯ dim,1,1,0,1.0
C♯ maj,F♯ min,1,1,0,1.0
C♯ maj,G min,1,1,0,1.0
C♯ maj,G♯ min,1,1,0,1.0
C♯ min,A maj,1,1,0,1.0
C♯ min,A min,1,1,0,1.0
C♯ min,A♯ dim,1,1,0,1.0
C♯ min,B maj,1,1,0,1.0
C♯ min,C maj,1,1,0,1.0
C♯ min,C♯ min,1,1,0,1.0
C♯ min,D dim,1,1,0,1.0
C♯ min,D♯ maj,1,1,0,1.0
C♯ min,E dim,1,1,0,1.0
C♯ min,F maj,1,1,0,1.0
C♯ min,G♯ dim,1,1,0,1.0
C♯ min,G♯ maj,1,1,0,1.0
D dim,A min,1,1,0,1.0
D dim,A♯ dim,1,1,0,1.0
D dim,B maj,1,1,0,1.0
D dim,C dim,1,1,0,1.0
D dim,C maj,1,1,0,1.0
D dim,C min,1,1,0,1.0
D dim,C♯ min,1,1,0,1.0
D dim,D min,1,1,0,1.0
D dim,D♯ min,1,1,0,1.0
D dim,F min,1,1,0,1.0
D dim,F♯ maj,1,1,0,1.0
D maj,A maj,1,1,0,1.0
